date-time,temp,humid
2020-06-29-5,20.8,97.0
2020-06-29-6,20.7,97.0
2020-06-29-7,21.2,97.0
2020-06-29-8,22.3,95.0
2020-06-29-9,23.0,92.0
2020-06-29-10,24.0,89.0
2020-06-29-11,24.6,79.0
2020-06-29-12,21.4,97.0
2020-06-29-13,21.0,97.0
2020-06-29-14,20.4,98.0
2020-06-29-15,20.7,98.0
2020-06-29-16,20.8,96.0
2020-06-29-17,21.2,94.0
2020-06-29-18,20.2,97.0
2020-06-29-19,20.5,98.0
2020-06-29-20,21.5,98.0
2020-06-29-21,21.8,98.0
2020-06-29-22,22.2,98.0
2020-06-29-23,22.3,99.0
2020-06-30-0,22.5,99.0
2020-06-30-1,21.3,98.0
2020-06-30-2,20.7,99.0
2020-06-30-3,20.7,99.0
2020-06-30-4,20.4,99.0
2020-06-30-5,20.2,99.0
2020-06-30-6,20.2,99.0
2020-06-30-7,19.9,99.0
2020-06-30-8,20.1,99.0
2020-06-30-9,20.1,98.0
2020-06-30-10,20.2,98.0
2020-06-30-11,20.5,96.0
2020-06-30-12,21.4,91.0
2020-06-30-13,20.2,96.0
2020-06-30-14,20.4,97.0
2020-06-30-15,21.0,92.0
2020-06-30-16,21.0,92.0
2020-06-30-17,20.6,91.0
2020-06-30-18,19.0,98.0
2020-06-30-19,18.8,99.0
2020-06-30-20,18.7,99.0
2020-06-30-21,18.4,99.0
2020-06-30-22,18.4,99.0
2020-06-30-23,18.4,99.0
2020-07-01-0,18.9,99.0
2020-07-01-1,18.7,97.0
2020-07-01-2,18.7,96.0
2020-07-01-3,18.6,95.0
2020-07-01-4,18.7,94.0
2020-07-01-5,18.7,94.0
2020-07-01-6,18.3,94.0
2020-07-01-7,18.7,96.0
2020-07-01-8,20.7,84.0
2020-07-01-9,21.6,77.0
2020-07-01-10,22.4,72.0
2020-07-01-11,23.7,65.0
2020-07-01-12,24.5,61.0
2020-07-01-13,26.0,60.0
2020-07-01-14,26.4,55.0
2020-07-01-15,26.4,54.0
2020-07-01-16,26.3,57.0
2020-07-01-17,24.9,56.0
2020-07-01-18,24.3,60.0
2020-07-01-19,23.6,68.0
2020-07-01-20,22.5,74.0
2020-07-01-21,22.0,77.0
