date-time,day,active_power,active_energy
2020-06-24-21,1,3393.2,642.321
2020-06-24-22,1,3322.0,645.559
2020-06-25-0,1,3194.4,651.915
2020-06-25-1,1,3086.2,654.969
2020-06-25-2,1,3013.6,657.918
2020-06-25-3,1,3069.4,660.835
2020-06-25-4,1,2867.9,663.677
2020-06-25-5,1,2814.0,666.434
2020-06-25-6,1,2839.1,669.11
2020-06-25-7,1,3083.4,671.822
2020-06-25-8,1,3573.1,674.649
2020-06-25-9,1,3927.2,677.816
2020-06-25-10,1,4007.4,681.527
2020-06-25-11,1,3947.1,685.388
2020-06-25-12,1,3891.7,689.195
2020-06-25-13,1,3996.7,692.889
2020-06-25-14,1,3924.6,696.673
2020-06-25-15,1,3956.4,700.417
2020-06-25-16,1,3976.8,704.143
2020-06-25-17,1,3751.7,707.932
2020-06-25-18,1,3386.7,711.551
2020-06-25-19,1,3368.3,714.834
2020-06-25-20,1,3396.7,718.016
2020-06-25-21,1,3299.2,721.198
2020-06-25-22,1,3185.6,724.346
2020-06-25-23,1,3088.5,727.406
2020-06-26-1,1,2968.6,733.277
2020-06-26-2,1,2969.1,736.137
2020-06-26-3,1,2862.8,738.959
2020-06-26-4,1,2857.7,741.675
2020-06-26-5,1,2774.0,744.341
2020-06-26-6,1,2762.7,746.947
2020-06-26-7,1,2850.7,749.581
2020-06-26-8,1,3364.7,752.314
2020-06-26-9,1,3689.9,755.3
2020-06-26-10,1,3723.3,758.74
2020-06-26-11,1,3711.7,762.241
2020-06-26-12,1,3720.0,765.78
2020-06-26-13,1,3834.1,769.281
2020-06-26-14,1,3786.5,772.892
2020-06-26-15,1,3799.0,776.494
2020-06-26-16,1,4004.8,780.127
2020-06-26-17,1,3858.0,783.87
2020-06-26-18,1,3515.5,787.565
2020-06-26-19,1,3371.0,790.956
2020-06-26-20,1,3329.9,794.173
2020-06-26-21,1,3229.5,797.353
2020-06-26-22,1,3143.4,800.459
2020-06-26-23,1,3119.2,803.481
2020-06-27-0,0,3029.8,806.442
2020-06-27-2,0,2926.7,812.187
2020-06-27-3,0,2871.8,814.982
2020-06-27-4,0,2903.4,817.723
2020-06-27-5,0,2756.5,820.417
2020-06-27-6,0,2808.2,823.034
2020-06-27-7,0,2823.8,825.654
2020-06-27-8,0,2968.4,828.293
2020-06-27-9,0,3165.1,831.105
2020-06-27-10,0,3159.2,834.096
2020-06-27-11,0,3204.0,837.071
2020-06-27-12,0,3211.9,840.096
2020-06-27-13,0,3208.2,843.118
2020-06-27-14,0,3270.2,846.13
2020-06-27-15,0,3248.0,849.205
2020-06-27-16,0,3293.3,852.326
2020-06-27-17,0,3359.1,855.456
2020-06-27-18,0,3268.8,858.629
2020-06-27-19,0,3327.3,861.813
2020-06-27-20,0,3326.3,864.945
2020-06-27-21,0,3275.2,868.131
2020-06-27-22,0,3247.5,871.251
2020-06-27-23,0,3105.1,874.336
2020-06-28-0,0,3107.5,877.333
2020-06-28-1,0,2977.8,880.252
2020-06-29-4,1,2792.2,957.924
2020-06-29-5,1,2831.6,960.619
2020-06-29-6,1,2760.9,963.268
2020-06-29-7,1,2995.7,965.949
2020-06-29-8,1,3640.7,968.757
2020-06-29-9,1,3918.9,972.044
2020-06-29-10,1,3995.9,975.799
2020-06-29-11,1,4104.1,979.6
2020-06-29-12,1,4048.0,983.557
2020-06-29-13,1,3933.3,987.432
2020-06-29-14,1,4007.0,991.275
2020-06-29-15,1,3913.3,995.124
2020-06-29-16,1,3956.9,998.916
2020-06-29-17,1,3859.8,2.713
2020-06-29-18,1,3662.5,6.448
2020-06-29-19,1,3562.1,9.944
2020-06-29-20,1,3383.9,13.23
2020-06-29-21,1,3377.8,16.461
2020-06-29-22,1,3242.8,19.671
2020-06-29-23,1,3242.8,22.822
2020-06-30-0,1,3093.4,25.932
2020-06-30-1,1,3018.0,28.911
2020-06-30-2,1,3003.0,31.793
2020-06-30-3,1,2879.4,34.619
2020-07-01-6,1,2755.6,119.757
2020-07-01-7,1,2831.6,122.331
2020-07-01-8,1,3302.1,125.038
2020-07-01-9,1,3441.1,128.099
2020-07-01-10,1,3853.3,131.359
2020-07-01-11,1,3525.2,134.77
2020-07-01-12,1,3597.6,138.157
2020-07-01-13,1,3626.4,141.473
2020-07-01-14,1,3712.4,144.939
2020-07-01-15,1,3829.6,148.474
2020-07-01-16,1,3736.2,152.126
2020-07-01-17,1,3782.7,155.71
2020-07-01-18,1,3589.7,159.318
2020-07-01-19,1,3449.5,162.736
2020-07-01-20,1,3356.9,166.012
2020-07-01-21,1,3278.5,169.212
2020-07-01-22,1,3144.5,172.336
2020-07-01-23,1,3170.6,175.369
2020-07-02-0,1,3019.0,178.367
2020-07-02-1,1,3003.6,181.294
2020-07-02-2,1,2881.9,184.139
2020-07-02-3,1,2898.1,186.908
2020-07-02-4,1,2833.0,189.598
2020-07-02-5,1,2761.5,192.267
2020-07-02-7,1,2821.1,197.459
2020-07-02-8,1,3326.7,200.134
2020-07-02-9,1,3875.2,203.159
2020-07-02-10,1,4153.1,206.731
2020-07-02-11,1,4134.3,210.621
2020-07-02-12,1,4143.1,214.597
2020-07-02-13,1,4319.1,218.32
2020-07-02-14,1,4290.1,222.244
2020-07-02-15,1,3918.5,226.239
2020-07-02-16,1,3981.3,229.921
2020-07-02-17,1,4069.2,233.729
2020-07-02-18,1,3840.1,237.559
2020-07-02-19,1,3599.5,241.163
2020-07-02-20,1,3460.8,244.615
2020-07-02-21,1,3352.3,247.934
2020-07-02-22,1,3251.7,251.168
2020-07-02-23,1,3210.4,254.313
2020-07-03-0,1,3231.2,257.4
2020-07-03-1,1,3032.5,260.39
2020-07-03-2,1,2995.9,263.297
2020-07-03-3,1,2906.6,266.136
2020-07-03-4,1,2839.1,268.909
2020-07-03-5,1,2810.9,271.601
2020-07-03-6,1,2750.0,274.248
2020-07-03-8,1,3319.8,279.675
2020-07-03-9,1,3715.4,282.795
2020-07-03-10,1,3721.4,286.235
2020-07-03-11,1,3709.3,289.828
2020-07-03-12,1,3620.9,293.343
2020-07-03-13,1,3800.8,296.779
2020-07-03-14,1,3854.8,300.438
2020-07-03-15,1,3751.7,304.1
2020-07-03-16,1,3721.0,307.722
2020-07-03-17,1,3710.1,311.311
2020-07-03-18,1,3455.9,314.849
2020-07-03-19,1,3231.0,318.13
2020-07-03-20,1,3301.8,321.249
2020-07-03-21,1,3080.3,324.331
2020-07-03-22,1,3006.9,327.259
2020-07-03-23,1,2962.6,330.149
2020-07-04-0,0,2870.9,332.985
2020-07-04-1,0,2882.1,335.773
2020-07-04-2,0,2825.0,338.548
2020-07-04-3,0,2742.9,341.249
2020-07-04-4,0,2714.9,343.911
2020-07-04-5,0,2678.5,346.525
2020-07-04-6,0,2689.2,349.109
2020-07-04-7,0,2678.7,351.647
2020-07-05-10,0,2733.7,424.502
2020-07-05-11,0,2795.1,427.096
2020-07-05-12,0,2857.3,429.722
2020-07-05-13,0,2993.9,432.376
2020-07-05-14,0,3024.6,435.196
2020-07-05-15,0,3067.0,438.012
2020-07-05-16,0,3122.7,440.888
2020-07-05-17,0,3095.8,443.826
2020-07-05-18,0,3084.9,446.815
2020-07-05-19,0,3076.9,449.814
2020-07-05-20,0,3129.3,452.783
2020-07-05-21,0,3106.9,455.817
2020-07-05-22,0,3107.0,458.799
2020-07-05-23,0,3052.4,461.802
2020-07-06-0,1,2910.5,464.704
2020-07-06-1,1,2865.3,467.494
2020-07-06-2,1,2763.4,470.214
2020-07-06-3,1,2705.2,472.831
2020-07-06-4,1,2714.9,475.426
2020-07-06-5,1,2676.2,477.982
2020-07-06-6,1,2696.3,480.515
2020-07-06-7,1,2946.9,483.056
2020-07-06-8,1,3322.3,485.745
2020-07-06-9,1,3612.7,488.753
2020-07-06-11,1,3815.6,495.844
2020-07-06-12,1,3874.5,499.459
2020-07-06-13,1,4279.8,503.12
2020-07-06-14,1,4303.9,507.033
2020-07-06-15,1,4283.9,511.178
2020-07-06-16,1,4348.1,515.363
2020-07-06-17,1,4115.5,519.517
2020-07-06-18,1,3673.8,523.344
2020-07-06-19,1,3543.9,526.861
2020-07-06-20,1,3581.0,530.231
2020-07-06-21,1,3355.6,533.646
2020-07-06-22,1,3273.2,536.838
2020-07-06-23,1,3153.4,539.986
2020-07-07-0,1,3093.7,543.01
2020-07-07-1,1,3055.7,545.99
2020-07-07-2,1,2989.1,548.877
2020-07-07-3,1,2896.6,551.737
2020-07-07-4,1,2873.3,554.527
2020-07-07-5,1,2830.8,557.245
2020-07-07-6,1,2798.5,559.923
2020-07-07-7,1,2902.9,562.603
2020-07-07-8,1,3881.1,565.4
2020-07-07-9,1,4296.4,568.643
2020-07-07-10,1,4255.8,572.669
2020-07-07-12,1,4356.3,580.958
2020-07-07-13,1,4559.3,585.151
2020-07-07-14,1,4550.1,589.479
2020-07-07-15,1,4498.4,593.86
2020-07-07-16,1,4501.9,598.2
2020-07-07-17,1,4052.7,602.334
2020-07-07-18,1,3800.9,606.241
2020-07-07-19,1,3511.6,609.805
2020-07-07-20,1,3484.1,613.133
2020-07-07-21,1,3458.6,616.447
2020-07-07-22,1,3291.0,619.719
2020-07-07-23,1,3195.9,622.888
2020-07-08-0,1,3176.2,625.981
2020-07-08-1,1,2990.7,628.969
2020-07-08-2,1,2937.9,631.839
2020-07-08-3,1,2843.5,634.663
2020-07-08-4,1,2776.2,637.374
2020-07-08-5,1,2772.8,640.068
2020-07-08-6,1,2768.7,642.69
2020-07-08-7,1,3048.4,645.324
2020-07-08-8,1,3875.5,648.041
2020-07-08-9,1,4143.7,651.456
